rule_id,rule_name,pattern,action,priority,notes
NT-001,Never correct known technical whitelist terms,exact match in TechnicalTerms set,protect,100,Preserve original spelling and capitalization for known Apple/API/UI/dev terms.
NT-002,Never correct mixedCase / camelCase / PascalCase tokens,(?=.*[a-z])(?=.*[A-Z])[A-Za-z][A-Za-z0-9]*,protect,95,"Examples: SwiftUI, CoreML, URLSession, ViewController, asyncSequence."
NT-003,Never correct ALLCAPS acronyms,"[A-ZА-ЯЁ]{2,}[0-9]*",protect,90,"Examples: API, SDK, DNS, VPN, HTTP, JSON, ML, AI."
NT-004,Never correct tokens with dots/slashes/underscores/hyphens used as technical delimiters,.*[./_:-].*,protect,88,"Examples: Node.js, HTTP/3, .plist, en_US, com.app.bundle, CI/CD."
NT-005,Never correct file extensions,"\.[A-Za-z0-9]{1,12}",protect,87,"Examples: .swift, .json, .xcodeproj, .dmg."
NT-006,Never correct bundle identifiers / reverse DNS identifiers,"[A-Za-z][A-Za-z0-9-]*(\.[A-Za-z0-9-]+){2,}",protect,86,"Examples: com.apple.Safari, ru.company.app."
NT-007,Never correct semantic versions and build-like tokens,"v?\d+(\.\d+){1,3}([\-+][A-Za-z0-9.]+)?",protect,85,"Examples: 1.3.1, v2.0.0-beta, build 42."
NT-008,Never correct tokens with digits plus letters,(?=.*[A-Za-zА-Яа-яЁё])(?=.*\d)[A-Za-zА-Яа-яЁё0-9._-]+,protect,84,"Examples: M3, iPhone16, HTTP2, 2FA, H264."
NT-009,Never correct command-line flags and options,"-{1,2}[A-Za-z0-9][A-Za-z0-9_-]*",protect,83,"Examples: -v, --help, --force, --config."
NT-010,"Never correct URLs, emails, handles and hashtags",(https?://\S+|\S+@\S+\.\S+|@[A-Za-z0-9_]+|#[A-Za-z0-9_]+),protect,82,Technical and identity tokens should not be layout-corrected.
NT-011,Never auto-correct short unknown words before checking technical guards,length <= 4 and matches any guard above,protect,81,"Prevents damage to short acronyms like DNS, VPN, API, CLI, ML."
NT-012,Correct only after whitelist/rule guard fails,fallback correction pipeline,defer,10,Run layout candidate scoring only after technical protection rules are checked.
